"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.00167841557569654","-0.00522193211488251","-0.00905961224859576","-0.00181785129976368","0.258706467661692","-0.00158302991926547","0.00504965494024575","0.0406917599186165","0.0329289428076256","0.0828777993299242","0.109382221537513","0.0713324360699865","-0.0858636137381782","0.0544747081712062","0.0593624983868886","0.0423131170662906","0.0323991797676008","0.0321957501609788","0.275959440379926","0.36202630550853","0.750191375350855","2.10305876380251","","","","",
"American Samoa","ASM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.173756354977798","0.900785791860985","1.54840360867618","1.5020366598778","1.51931173347977","1.83115895395776","4.58748221906117","4.7562283943259","4.27379925222893","3.87100430741329","3.8725406815218","","","","",
"Antigua and Barbuda","ATG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.0488460129441934","0.0485348540920949","0.14265335235378","0.142221684267861","0.19054532256601","0.187149095446039","1.55200370627751","1.55959364715982","1.84609239021885","2.82657253950307","3.68746637977407","4.9484175555167","5.65579264886605","","","","",
"Australia","AUS","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0116114798831111","0.31055108469691","0.157322385533862","0.163153070577452","0.234678705146809","0.226381533734891","0.355296793882814","0.35804284488272","0.365974131003383","0.409339810870301","0.58513775782023","0.711865915818995","0.87763397859858","1.06208277098939","1.1264085031125","2.09669801005904","2.45501009320105","2.74472871436973","3.21394945337779","2.74014555008422","3.25297533058129","3.77295321522258","4.91593625498008","5.84715157782507","7.17778899545684","7.98431659191756","8.61820532591848","9.36755170930399","10.9604835744055","13.656230825752","16.8875246061136","20.937361139354","","","","",
"Austria","AUT","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.254503519306478","-0.186469319969699","0.107442859933581","0.558936304152916","0.31431152601069","1.40506891951979","0.488338192419825","1.22566309255079","1.36313398010561","1.01896823313206","2.609220170756","2.84616246857436","2.6683626938031","3.48703759098614","4.69226212744731","5.67157948288245","7.7477357732373","9.40913281298015","9.27698912506918","9.09275261626645","9.32875941963784","10.1365535684439","10.304023249728","12.3982240037451","14.0280418105688","15.9661097413437","16.2666012765708","17.892616790982","18.094276928458","18.6002370881267","18.5045480856694","19.7907315280683","","","","",
"Azerbaijan","AZE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0010527761248684","0.00152474241094118","0.013938944244223","0.00636023516835917","0","0.000870019140421089","0.588336045217093","0.722864768683274","0.775599481529488","0.933031420327028","0.945723684210526","1.12648143010028","1.32824486038662","1.33209489531329","1.21956467171083","","","","",
"Burundi","BDI","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00676078743289","3.72382370980461","3.43759923785329","4.04040404040404","4.54545454545455","4.29313099041534","2.57735288418061","2.72018820761653","2.22120448820701","2.78298350824588","3.078339801355","3.65238490517847","4.12209757370206","3.86001029336078","2.99234516353514","3.3399486906433","4.35690693607927","4.2463317029791","2.85733205310731","2.3884081074926","2.2209352101327","1.73876633536814","","","","",
"Belgium","BEL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.482213104352608","-0.615825177935943","-0.746278989269644","-0.72422847784962","-0.809099599606534","-0.755295129555962","-0.839695659601309","-0.873999467228191","-0.887200509719534","-0.756087748775351","0.69513878969671","0.794277195224314","0.947982794965212","1.1166253101737","1.40020187626173","2.12234464727578","3.06574296286663","3.51514154048716","4.7476391900378","5.60522246471382","6.67875149298693","8.97889382923089","12.2391330523781","13.5956307714419","16.4409676752361","20.2893623126031","16.2257318412261","17.9413292695598","22.5176241687656","20.4847080432275","25.9354074206567","22.2006150416497","","","","",
"Benin","BEN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","-0.44047619047619","-0.651515151515152","-0.761904761904762","-0.3875","0.604938271604938","-0.233644859813084","0","0","0","0","0","0","0","0","0.14367816091954","0.821212121212121","0.123188405797101","1.33232628398792","2.67821782178218","1.02462121212121","0.539939332659252","0.251332149200711","","","","",
"Burkina Faso","BFA","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0692307692307692","-0.0601092896174863","-0.0657534246575343","-0.0247191011235955","-0.113924050632911","-0.102514506769826","0.122262773722628","0.0686274509803922","-0.0112903225806452","0.0428571428571429","-0.0305882352941176","0.0164293537787514","0.0663129973474801","0.108424336973479","0.214666666666667","0.256871035940803","0.322934719815136","0.909489851892485","4.64406779661017","6.27078085642317","6.13584905660377","6.36428571428571","","","","",
